"unique.paste.TruncatedODdata.Node_O..TruncatedODdata.Node_D.."
"1" "13514 13589"
"2" "17593 11879"
"3" "16657 12612"
"4" "17625 10778"
"5" "20123 16518"
"6" "19108 17147"
"7" "10470 18823"
"8" "11087 17147"
"9" "19108 21632"
"10" "13514 19847"
"11" "17593 14078"
"12" "18223 1380018635"
"13" "19108 1380018635"
"14" "16657 14078"
"15" "11087 13854"
"16" "16518 16657"
"17" "12598 15520"
"18" "16769 18344"
"19" "13093 16546"
"20" "13093 18039"
"21" "16657 19600"
"22" "11087 19312"
"23" "16657 11087"
"24" "16518 14439"
"25" "12612 16657"
"26" "22149 18344"
"27" "19108 13094"
"28" "16657 20059"
"29" "11532 18223"
"30" "16518 13094"
"31" "17593 14687"
"32" "13093 21479"
"33" "17625 14784"
"34" "17625 16662"
"35" "12612 1380016436"
"36" "12029 18534"
"37" "14687 18223"
"38" "11087 18046"
"39" "16657 16518"
"40" "12612 13094"
"41" "10470 21449"
"42" "13514 12249"
"43" "13514 20049"
"44" "14056 16657"
"45" "11087 17122"
"46" "17625 1380008113"
"47" "16518 1380016436"
"48" "13093 12612"
"49" "16518 11344"
"50" "16518 16447"
"51" "13093 18025"
"52" "19108 18223"
"53" "16657 10926"
"54" "10058 16955"
"55" "13514 16769"
"56" "12598 12930"
"57" "13514 21754"
"58" "13094 18344"
"59" "19108 10778"
"60" "13514 12308"
"61" "12612 17848"
"62" "13514 11284"
"63" "13342 20533"
"64" "11193 20533"
"65" "13093 16318"
"66" "13514 15220"
"67" "16330 14415"
"68" "13241 18344"
"69" "11087 16845"
"70" "21690 12612"
"71" "16657 21743"
"72" "13514 12448"
"73" "12598 14078"
"74" "11087 12249"
"75" "16657 1380008113"
"76" "19532 16518"
"77" "14687 16995"
"78" "21699 12612"
"79" "18223 12762"
"80" "19108 16769"
"81" "17593 15370"
"82" "16518 21893"
"83" "13342 12437"
"84" "19108 20357"
"85" "13514 21479"
"86" "15544 16657"
"87" "13514 10511"
"88" "11087 14906"
"89" "16657 1380027746"
