observations,TravelTime,startNodeID,endNodeID,interval
1,1831,20796,10789,2010-02-08 08:40:00
5,2859,21238,13854,2010-04-08 18:20:00
4,550,1380009311,16421,2010-05-08 14:40:00
4,298,16826,10687,2010-04-08 13:30:00
4,362,1380009311,1380009311,2010-02-08 00:40:00
2,179,10026,12896,2010-04-08 16:15:00
1,308,1380034898,11410,2010-02-08 07:10:00
2,699,14443,17775,2010-03-08 23:00:00
4,910,17165,1380029334,2010-04-08 18:00:00
2,363,15285,19312,2010-03-08 09:25:00
1,1269,14932,15427,2010-02-08 18:55:00
3,193,16037,10046,2010-02-08 01:40:00
1,553,21161,14916,2010-05-08 08:00:00
1,442,12531,16421,2010-05-08 11:35:00
4,676,17324,12039,2010-05-08 09:00:00
1,1844,13991,18109,2010-05-08 06:45:00
2,1311,15539,18862,2010-04-08 14:30:00
2,260,12328,12896,2010-04-08 10:25:00
1,185,17252,14725,2010-05-08 18:35:00
3,548,16741,12929,2010-05-08 17:45:00
1,481,12073,17949,2010-03-08 12:50:00
2,366,20273,17380,2010-03-08 13:35:00
1,534,11821,18627,2010-03-08 15:40:00
4,723,16648,16036,2010-04-08 15:25:00
2,187,17147,17083,2010-03-08 13:55:00
2,1340,10632,12896,2010-04-08 11:10:00
1,183,1380009311,1380009311,2010-05-08 07:35:00
1,902,21058,14974,2010-04-08 16:10:00
1,821,21908,20482,2010-03-08 12:35:00
3,630,18558,1380012503,2010-04-08 07:20:00
1,417,19964,16748,2010-02-08 18:55:00
1,364,20100,11205,2010-04-08 22:05:00
25,360,21238,21238,2010-03-08 10:15:00
1,1364,18916,17472,2010-05-08 20:35:00
6,363,14443,19472,2010-04-08 23:10:00
3,720,1380030458,18184,2010-05-08 11:00:00
2,1259,10580,11900,2010-02-08 07:15:00
1,601,12159,12929,2010-05-08 13:05:00
4,366,12366,11736,2010-04-08 18:20:00
1,1301,11821,20892,2010-05-08 12:35:00
1,629,18916,11911,2010-04-08 09:20:00
4,361,21740,21740,2010-05-08 03:00:00
1,420,21045,13699,2010-03-08 20:50:00
2,1088,1380024098,20586,2010-02-08 07:40:00
5,1364,1380009311,11296,2010-02-08 23:15:00
1,1284,15170,17676,2010-05-08 15:30:00
1,1225,1380032142,12929,2010-05-08 21:35:00
8,1237,1380009311,17877,2010-02-08 17:05:00
5,1257,21977,14461,2010-05-08 07:30:00
1,763,22015,13700,2010-02-08 21:00:00
1,1145,16472,13365,2010-03-08 13:30:00
2,235,19108,12897,2010-02-08 14:05:00
2,1082,16741,12893,2010-04-08 14:40:00
1,491,14348,20273,2010-04-08 15:40:00
1,869,1380036441,11517,2010-03-08 14:10:00
2,236,15220,14112,2010-05-08 19:10:00
1,902,1380026242,10842,2010-02-08 08:15:00
1,885,1380005813,20585,2010-02-08 22:15:00
1,828,16143,13740,2010-03-08 21:30:00
1,183,15490,11452,2010-02-08 21:15:00
2,543,14443,18443,2010-04-08 20:45:00
1,182,21176,17047,2010-05-08 14:00:00
