21600 10024 15570 234 2
23400 10024 15570 183 1
27000 10024 15570 181.833333333333 6
32400 10024 15570 360 1
34200 10024 15570 181 2
36000 10024 15570 271.5 2
21600 10804 11532 102 1
23400 10804 11532 222 2
25200 10804 11532 185 3
27000 10804 11532 308 1
30600 10804 11532 212.333333333333 6
32400 10804 11532 250.375 8
34200 10804 11532 184.555555555556 9
21600 10917 17083 637 1
23400 10917 17083 617 2
30600 10917 17083 1085 2
32400 10917 17083 1083 1
36000 10917 17083 732 2
21600 11161 12158 275 1
23400 11161 12158 181 1
28800 11161 12158 395 5
30600 11161 12158 543.6 5
32400 11161 12158 422.666666666667 3
21600 11182 13999 183 1
23400 11182 13999 180 1
25200 11182 13999 184 2
28800 11182 13999 180.5 2
30600 11182 13999 180.416666666667 12
32400 11182 13999 181 2
34200 11182 13999 183.25 4
36000 11182 13999 198.333333333333 3
21600 11284 13841 211 1
23400 11284 13841 264.333333333333 3
25200 11284 13841 385.047619047619 21
27000 11284 13841 567 1
28800 11284 13841 461 4
32400 11284 13841 241 1
21600 11284 19964 182 2
23400 11284 19964 183 2
25200 11284 19964 189.285714285714 7
27000 11284 19964 187 4
28800 11284 19964 181 1
30600 11284 19964 184 1
32400 11284 19964 183 3
36000 11284 19964 360 1
21600 11708 16278 193 1
23400 11708 16278 181 1
25200 11708 16278 184.333333333333 6
32400 11708 16278 183.666666666667 3
36000 11708 16278 184.666666666667 6
21600 12414 14939 74 2
23400 12414 14939 91 1
30600 12414 14939 271.5 4
32400 12414 14939 246 1
21600 12414 19887 360 1
23400 12414 19887 406 1
25200 12414 19887 468 2
27000 12414 19887 655.333333333333 3
28800 12414 19887 783.2 5
30600 12414 19887 922 3
21600 12570 12159 368 2
23400 12570 12159 546 3
25200 12570 12159 550.5 2
27000 12570 12159 735.5 2
28800 12570 12159 747.6 5
30600 12570 12159 870.666666666667 6
32400 12570 12159 996.25 4
34200 12570 12159 635.5 6
36000 12570 12159 577 1
21600 12570 16295 488 1
23400 12570 16295 445 1
28800 12570 16295 493 1
36000 12570 16295 587 4
21600 12574 11182 189 1
23400 12574 11182 182 2
28800 12574 11182 363 1
36000 12574 11182 368 2
21600 12574 13892 621.5 2
23400 12574 13892 543 1
27000 12574 13892 899 1
28800 12574 13892 867.5 4
30600 12574 13892 1085.625 8
32400 12574 13892 929.857142857143 7
34200 12574 13892 817.5 2
36000 12574 13892 723 1
21600 12574 21439 486.222222222222 9
23400 12574 21439 464 4
25200 12574 21439 550 6
27000 12574 21439 751.166666666667 12
28800 12574 21439 940 35
30600 12574 21439 1076.48148148148 27
32400 12574 21439 984.842105263158 19
34200 12574 21439 716.727272727273 11
36000 12574 21439 686.583333333333 12
21600 12586 12159 426.5 4
23400 12586 12159 589 3
25200 12586 12159 528.75 4
28800 12586 12159 911 1
30600 12586 12159 994 2
32400 12586 12159 754 2
36000 12586 12159 555 1
21600 12586 17083 449 4
23400 12586 17083 456.333333333333 3
25200 12586 17083 560 2
27000 12586 17083 727.2 5
28800 12586 17083 937.8 5
34200 12586 17083 537.5 8
36000 12586 17083 1087.5 4
21600 12586 21439 494.4 5
23400 12586 21439 556.333333333333 9
27000 12586 21439 783.8 5
28800 12586 21439 877.5 4
30600 12586 21439 981 4
32400 12586 21439 821.5 4
34200 12586 21439 723.666666666667 6
21600 12598 10235 643.5 4
23400 12598 10235 905.5 4
25200 12598 10235 1213 2
27000 12598 10235 1028 2
30600 12598 10235 1444.8 5
32400 12598 10235 1057 2
36000 12598 10235 1084 2
21600 12906 12159 431 1
23400 12906 12159 512.666666666667 3
