27900 111 7921 792100 35
28800 111 7921 792100 37
29700 111 7921 792100 32
30600 111 7921 792100 39
31500 111 7921 792100 43
32400 111 7921 792100 34
33300 111 7921 792100 43
34200 111 7921 792100 52
35100 111 7921 792100 44
21600 111 7921 792101 23
22500 111 7921 792101 29
23400 111 7921 792101 29
24300 111 7921 792101 38
25200 111 7921 792101 61
26100 111 7921 792101 83
27000 111 7921 792101 137
27900 111 7921 792101 150
28800 111 7921 792101 140
29700 111 7921 792101 163
30600 111 7921 792101 131
31500 111 7921 792101 143
32400 111 7921 792101 151
33300 111 7921 792101 152
34200 111 7921 792101 143
35100 111 7921 792101 132
21600 111 7921 792102 8
22500 111 7921 792102 22
23400 111 7921 792102 27
24300 111 7921 792102 23
25200 111 7921 792102 33
26100 111 7921 792102 84
27000 111 7921 792102 112
27900 111 7921 792102 145
28800 111 7921 792102 137
29700 111 7921 792102 153
30600 111 7921 792102 153
31500 111 7921 792102 136
32400 111 7921 792102 172
33300 111 7921 792102 177
34200 111 7921 792102 161
35100 111 7921 792102 113
21600 111 7921 792103 2
22500 111 7921 792103 7
23400 111 7921 792103 10
24300 111 7921 792103 12
25200 111 7921 792103 18
26100 111 7921 792103 27
27000 111 7921 792103 40
27900 111 7921 792103 50
28800 111 7921 792103 37
29700 111 7921 792103 43
30600 111 7921 792103 63
31500 111 7921 792103 63
32400 111 7921 792103 66
33300 111 7921 792103 65
34200 111 7921 792103 46
35100 111 7921 792103 33
21600 111 5370 537000 5
22500 111 5370 537000 6
23400 111 5370 537000 8
24300 111 5370 537000 7
25200 111 5370 537000 9
26100 111 5370 537000 11
27000 111 5370 537000 19
27900 111 5370 537000 26
28800 111 5370 537000 33
29700 111 5370 537000 35
30600 111 5370 537000 35
31500 111 5370 537000 43
32400 111 5370 537000 33
33300 111 5370 537000 35
34200 111 5370 537000 33
35100 111 5370 537000 39
21600 111 5370 537001 3
22500 111 5370 537001 3
23400 111 5370 537001 12
24300 111 5370 537001 3
25200 111 5370 537001 12
26100 111 5370 537001 16
27000 111 5370 537001 37
27900 111 5370 537001 59
28800 111 5370 537001 67
29700 111 5370 537001 56
30600 111 5370 537001 56
31500 111 5370 537001 61
32400 111 5370 537001 59
33300 111 5370 537001 62
34200 111 5370 537001 46
35100 111 5370 537001 58
21600 111 5370 537002 4
22500 111 5370 537002 5
23400 111 5370 537002 4
24300 111 5370 537002 5
25200 111 5370 537002 18
26100 111 5370 537002 17
27000 111 5370 537002 25
27900 111 5370 537002 39
28800 111 5370 537002 53
29700 111 5370 537002 51
30600 111 5370 537002 45
31500 111 5370 537002 50
32400 111 5370 537002 52
33300 111 5370 537002 44
34200 111 5370 537002 40
35100 111 5370 537002 39
21600 112 7557 755700 16
22500 112 7557 755700 24
23400 112 7557 755700 29
24300 112 7557 755700 37
25200 112 7557 755700 72
26100 112 7557 755700 101
27000 112 7557 755700 159
27900 112 7557 755700 195
28800 112 7557 755700 186
29700 112 7557 755700 190
30600 112 7557 755700 177
31500 112 7557 755700 195
32400 112 7557 755700 200
33300 112 7557 755700 218
34200 112 7557 755700 198
35100 112 7557 755700 167
21600 112 7557 755701 12
22500 112 7557 755701 23
23400 112 7557 755701 31
24300 112 7557 755701 36
25200 112 7557 755701 36
26100 112 7557 755701 99
27000 112 7557 755701 126
27900 112 7557 755701 170
28800 112 7557 755701 176
29700 112 7557 755701 188
30600 112 7557 755701 193
31500 112 7557 755701 192
32400 112 7557 755701 212
33300 112 7557 755701 215
34200 112 7557 755701 188
35100 112 7557 755701 156
21600 112 7557 755702 1
22500 112 7557 755702 15
23400 112 7557 755702 13
24300 112 7557 755702 16
25200 112 7557 755702 26
26100 112 7557 755702 40
27000 112 7557 755702 67
27900 112 7557 755702 70
28800 112 7557 755702 85
29700 112 7557 755702 80
30600 112 7557 755702 106
31500 112 7557 755702 106
32400 112 7557 755702 116
33300 112 7557 755702 105
34200 112 7557 755702 83
35100 112 7557 755702 82
21600 112 8569 856900 2
22500 112 8569 856900 4
23400 112 8569 856900 10
24300 112 8569 856900 10
25200 112 8569 856900 13
26100 112 8569 856900 20
27000 112 8569 856900 26
27900 112 8569 856900 36
28800 112 8569 856900 39
29700 112 8569 856900 36
30600 112 8569 856900 40
31500 112 8569 856900 45
32400 112 8569 856900 42
33300 112 8569 856900 41
34200 112 8569 856900 40
35100 112 8569 856900 34
21600 112 8569 856901 3
22500 112 8569 856901 4
23400 112 8569 856901 7
24300 112 8569 856901 6
25200 112 8569 856901 12
26100 112 8569 856901 21
27000 112 8569 856901 23
27900 112 8569 856901 27
28800 112 8569 856901 32
29700 112 8569 856901 39
30600 112 8569 856901 39
31500 112 8569 856901 48
32400 112 8569 856901 48
33300 112 8569 856901 38
34200 112 8569 856901 38
35100 112 8569 856901 33
21600 112 8569 856902 3
22500 112 8569 856902 4
23400 112 8569 856902 2
24300 112 8569 856902 5
25200 112 8569 856902 12
26100 112 8569 856902 17
27000 112 8569 856902 12
27900 112 8569 856902 26
28800 112 8569 856902 21
29700 112 8569 856902 32
30600 112 8569 856902 32
31500 112 8569 856902 33
32400 112 8569 856902 30
33300 112 8569 856902 28
34200 112 8569 856902 24
35100 112 8569 856902 18
21600 112 8569 856903 3
22500 112 8569 856903 1
23400 112 8569 856903 4
24300 112 8569 856903 7
25200 112 8569 856903 11
26100 112 8569 856903 16
27000 112 8569 856903 25
27900 112 8569 856903 30
28800 112 8569 856903 36
29700 112 8569 856903 31
30600 112 8569 856903 28
31500 112 8569 856903 27
32400 112 8569 856903 37
33300 112 8569 856903 34
34200 112 8569 856903 43
35100 112 8569 856903 22
21600 112 8569 856904 7
22500 112 8569 856904 7
23400 112 8569 856904 12
24300 112 8569 856904 21
25200 112 8569 856904 25
26100 112 8569 856904 38
27000 112 8569 856904 55
27900 112 8569 856904 67
28800 112 8569 856904 55
29700 112 8569 856904 64
30600 112 8569 856904 69
31500 112 8569 856904 74
32400 112 8569 856904 71
33300 112 8569 856904 62
34200 112 8569 856904 57
35100 112 8569 856904 61
21600 116 5376 537600 2
22500 116 5376 537600 6
23400 116 5376 537600 14
24300 116 5376 537600 5
25200 116 5376 537600 17
26100 116 5376 537600 15
27000 116 5376 537600 17
27900 116 5376 537600 22
28800 116 5376 537600 29
29700 116 5376 537600 36
30600 116 5376 537600 47
31500 116 5376 537600 43
32400 116 5376 537600 47
33300 116 5376 537600 30
34200 116 5376 537600 67
35100 116 5376 537600 54
21600 116 5376 537601 17
22500 116 5376 537601 23
23400 116 5376 537601 26
24300 116 5376 537601 25
25200 116 5376 537601 43
26100 116 5376 537601 66
27000 116 5376 537601 110
27900 116 5376 537601 125
28800 116 5376 537601 130
29700 116 5376 537601 138
30600 116 5376 537601 100
31500 116 5376 537601 61
32400 116 5376 537601 133
33300 116 5376 537601 142
34200 116 5376 537601 120
35100 116 5376 537601 131
21600 116 5376 537602 5
22500 116 5376 537602 8
23400 116 5376 537602 13
24300 116 5376 537602 12
25200 116 5376 537602 17
26100 116 5376 537602 28
27000 116 5376 537602 50
27900 116 5376 537602 80
28800 116 5376 537602 88
29700 116 5376 537602 107
30600 116 5376 537602 87
31500 116 5376 537602 73
32400 116 5376 537602 106
33300 116 5376 537602 122
34200 116 5376 537602 120
35100 116 5376 537602 101
21600 116 5376 537603 1
22500 116 5376 537603 1
23400 116 5376 537603 8
24300 116 5376 537603 4
25200 116 5376 537603 6
26100 116 5376 537603 15
27000 116 5376 537603 29
27900 116 5376 537603 44
28800 116 5376 537603 48
29700 116 5376 537603 56
30600 116 5376 537603 103
31500 116 5376 537603 125
32400 116 5376 537603 93
33300 116 5376 537603 66
34200 116 5376 537603 66
35100 116 5376 537603 56
21600 116 8301 830100 4
22500 116 8301 830100 2
23400 116 8301 830100 5
24300 116 8301 830100 11
25200 116 8301 830100 7
26100 116 8301 830100 21
27000 116 8301 830100 34
27900 116 8301 830100 31
28800 116 8301 830100 59
29700 116 8301 830100 63
30600 116 8301 830100 59
31500 116 8301 830100 51
32400 116 8301 830100 59
