"d_t_19902-10207_06:02:05",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:14:03",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:08:44",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:13:55",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:03:36",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:11:37",1,"Car","",2,1,1,19902,10207,1
"d_t_13094-17122_06:03:08",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:05:09",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:14:55",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:05:01",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:03:25",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:00:05",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:13:22",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:07:11",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:07:14",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:02:45",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:03:46",1,"Car","",2,1,1,13094,17122,1
"d_t_12799-14078_06:00:09",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:00:48",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:06:18",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:03:24",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:01:30",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:13:31",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:06:33",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:10:19",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:06:32",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:10:43",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:04:10",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:08:00",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:01:03",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:01:52",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:07:25",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:10:06",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:08:01",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:02:04",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:00:34",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:04:30",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:09:59",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:03:12",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:13:25",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:02:36",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:10:41",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:03:16",1,"Car","",2,1,1,12799,14078,1
"d_t_18684-20408_06:04:29",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:02:15",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:06:51",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:08:18",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:05:42",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:01:17",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:08:08",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:00:23",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:07:00",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:14:03",1,"Car","",2,1,1,18684,20408,1
"d_t_18039-16657_06:03:08",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:03:08",1,"Car","",2,1,1,18039,16657,1
