"d_t_18684-20408_06:08:03","p_t_18684-20408_06:08:03","06:08:03","","",1,1,18684,20408,1
"d_t_18684-20408_06:09:59","p_t_18684-20408_06:09:59","06:09:59","","",1,1,18684,20408,1
"d_t_18684-20408_06:14:25","p_t_18684-20408_06:14:25","06:14:25","","",1,1,18684,20408,1
"d_t_18684-20408_06:02:47","p_t_18684-20408_06:02:47","06:02:47","","",1,1,18684,20408,1
"d_t_18684-20408_06:12:02","p_t_18684-20408_06:12:02","06:12:02","","",1,1,18684,20408,1
"d_t_18039-16657_06:04:36","p_t_18039-16657_06:04:36","06:04:36","","",1,1,18039,16657,1
"d_t_18039-16657_06:05:46","p_t_18039-16657_06:05:46","06:05:46","","",1,1,18039,16657,1
"d_t_18039-16657_06:00:16","p_t_18039-16657_06:00:16","06:00:16","","",1,1,18039,16657,1
"d_t_18039-16657_06:07:58","p_t_18039-16657_06:07:58","06:07:58","","",1,1,18039,16657,1
"d_t_18039-16657_06:02:26","p_t_18039-16657_06:02:26","06:02:26","","",1,1,18039,16657,1
"d_t_18039-16657_06:08:03","p_t_18039-16657_06:08:03","06:08:03","","",1,1,18039,16657,1
"d_t_18039-16657_06:11:41","p_t_18039-16657_06:11:41","06:11:41","","",1,1,18039,16657,1
"d_t_18039-16657_06:00:21","p_t_18039-16657_06:00:21","06:00:21","","",1,1,18039,16657,1
"d_t_18039-16657_06:11:00","p_t_18039-16657_06:11:00","06:11:00","","",1,1,18039,16657,1
"d_t_18039-16657_06:14:59","p_t_18039-16657_06:14:59","06:14:59","","",1,1,18039,16657,1
"d_t_18039-16657_06:07:45","p_t_18039-16657_06:07:45","06:07:45","","",1,1,18039,16657,1
"d_t_18039-16657_06:00:35","p_t_18039-16657_06:00:35","06:00:35","","",1,1,18039,16657,1
"d_t_18039-16657_06:01:56","p_t_18039-16657_06:01:56","06:01:56","","",1,1,18039,16657,1
"d_t_18039-16657_06:14:03","p_t_18039-16657_06:14:03","06:14:03","","",1,1,18039,16657,1
"d_t_14185-18534_06:10:52","p_t_14185-18534_06:10:52","06:10:52","","",1,1,14185,18534,1
"d_t_14185-18534_06:12:41","p_t_14185-18534_06:12:41","06:12:41","","",1,1,14185,18534,1
"d_t_21469-11087_06:01:47","p_t_21469-11087_06:01:47","06:01:47","","",1,1,21469,11087,1
"d_t_21469-11087_06:07:59","p_t_21469-11087_06:07:59","06:07:59","","",1,1,21469,11087,1
"d_t_21469-11087_06:01:01","p_t_21469-11087_06:01:01","06:01:01","","",1,1,21469,11087,1
"d_t_21469-11087_06:01:57","p_t_21469-11087_06:01:57","06:01:57","","",1,1,21469,11087,1
"d_t_21469-11087_06:02:03","p_t_21469-11087_06:02:03","06:02:03","","",1,1,21469,11087,1
"d_t_21469-11087_06:08:07","p_t_21469-11087_06:08:07","06:08:07","","",1,1,21469,11087,1
"d_t_21469-11087_06:09:25","p_t_21469-11087_06:09:25","06:09:25","","",1,1,21469,11087,1
"d_t_21469-11087_06:02:25","p_t_21469-11087_06:02:25","06:02:25","","",1,1,21469,11087,1
"d_t_21469-11087_06:04:08","p_t_21469-11087_06:04:08","06:04:08","","",1,1,21469,11087,1
"d_t_21469-11087_06:02:51","p_t_21469-11087_06:02:51","06:02:51","","",1,1,21469,11087,1
"d_t_21469-11087_06:01:39","p_t_21469-11087_06:01:39","06:01:39","","",1,1,21469,11087,1
"d_t_21469-11087_06:14:13","p_t_21469-11087_06:14:13","06:14:13","","",1,1,21469,11087,1
"d_t_13342-12762_06:06:51","p_t_13342-12762_06:06:51","06:06:51","","",1,1,13342,12762,1
"d_t_13342-12762_06:13:02","p_t_13342-12762_06:13:02","06:13:02","","",1,1,13342,12762,1
"d_t_13342-12762_06:12:44","p_t_13342-12762_06:12:44","06:12:44","","",1,1,13342,12762,1
"d_t_13342-12762_06:03:27","p_t_13342-12762_06:03:27","06:03:27","","",1,1,13342,12762,1
"d_t_13342-12762_06:08:24","p_t_13342-12762_06:08:24","06:08:24","","",1,1,13342,12762,1
"d_t_13342-12762_06:03:59","p_t_13342-12762_06:03:59","06:03:59","","",1,1,13342,12762,1
"d_t_13342-12762_06:09:25","p_t_13342-12762_06:09:25","06:09:25","","",1,1,13342,12762,1
"d_t_13342-12762_06:03:42","p_t_13342-12762_06:03:42","06:03:42","","",1,1,13342,12762,1
"d_t_13342-12762_06:03:00","p_t_13342-12762_06:03:00","06:03:00","","",1,1,13342,12762,1
"d_t_13342-12762_06:03:07","p_t_13342-12762_06:03:07","06:03:07","","",1,1,13342,12762,1
"d_t_13342-12762_06:05:02","p_t_13342-12762_06:05:02","06:05:02","","",1,1,13342,12762,1
"d_t_13342-12762_06:02:51","p_t_13342-12762_06:02:51","06:02:51","","",1,1,13342,12762,1
"d_t_13342-12762_06:02:36","p_t_13342-12762_06:02:36","06:02:36","","",1,1,13342,12762,1
"d_t_13342-12762_06:07:28","p_t_13342-12762_06:07:28","06:07:28","","",1,1,13342,12762,1
"d_t_13342-12762_06:01:07","p_t_13342-12762_06:01:07","06:01:07","","",1,1,13342,12762,1
"d_t_13342-12762_06:02:26","p_t_13342-12762_06:02:26","06:02:26","","",1,1,13342,12762,1
"d_t_19964-18223_06:01:18","p_t_19964-18223_06:01:18","06:01:18","","",1,1,19964,18223,1
"d_t_19964-18223_06:09:26","p_t_19964-18223_06:09:26","06:09:26","","",1,1,19964,18223,1
"d_t_19964-18223_06:04:41","p_t_19964-18223_06:04:41","06:04:41","","",1,1,19964,18223,1
"d_t_19964-18223_06:10:57","p_t_19964-18223_06:10:57","06:10:57","","",1,1,19964,18223,1
"d_t_12799-18223_06:04:38","p_t_12799-18223_06:04:38","06:04:38","","",1,1,12799,18223,1
"d_t_12799-18223_06:08:40","p_t_12799-18223_06:08:40","06:08:40","","",1,1,12799,18223,1
"d_t_12799-18223_06:11:28","p_t_12799-18223_06:11:28","06:11:28","","",1,1,12799,18223,1
"d_t_12799-18223_06:08:43","p_t_12799-18223_06:08:43","06:08:43","","",1,1,12799,18223,1
"d_t_12799-18223_06:08:48","p_t_12799-18223_06:08:48","06:08:48","","",1,1,12799,18223,1
"d_t_12799-18223_06:08:56","p_t_12799-18223_06:08:56","06:08:56","","",1,1,12799,18223,1
"d_t_12799-18223_06:12:52","p_t_12799-18223_06:12:52","06:12:52","","",1,1,12799,18223,1
"d_t_12799-18223_06:06:23","p_t_12799-18223_06:06:23","06:06:23","","",1,1,12799,18223,1
"d_t_17437-13342_06:14:32","p_t_17437-13342_06:14:32","06:14:32","","",1,1,17437,13342,1
"d_t_17437-13342_06:04:40","p_t_17437-13342_06:04:40","06:04:40","","",1,1,17437,13342,1
"d_t_17437-13342_06:05:54","p_t_17437-13342_06:05:54","06:05:54","","",1,1,17437,13342,1
"d_t_17437-13342_06:02:46","p_t_17437-13342_06:02:46","06:02:46","","",1,1,17437,13342,1
"d_t_17437-13342_06:11:02","p_t_17437-13342_06:11:02","06:11:02","","",1,1,17437,13342,1
"d_t_17437-13342_06:03:13","p_t_17437-13342_06:03:13","06:03:13","","",1,1,17437,13342,1
"d_t_17437-13342_06:14:54","p_t_17437-13342_06:14:54","06:14:54","","",1,1,17437,13342,1
"d_t_17437-13342_06:06:29","p_t_17437-13342_06:06:29","06:06:29","","",1,1,17437,13342,1
"d_t_17437-13342_06:04:09","p_t_17437-13342_06:04:09","06:04:09","","",1,1,17437,13342,1
"d_t_17437-13342_06:08:04","p_t_17437-13342_06:08:04","06:08:04","","",1,1,17437,13342,1
"d_t_17437-13342_06:13:23","p_t_17437-13342_06:13:23","06:13:23","","",1,1,17437,13342,1
"d_t_17437-13342_06:00:06","p_t_17437-13342_06:00:06","06:00:06","","",1,1,17437,13342,1
"d_t_17437-13342_06:13:39","p_t_17437-13342_06:13:39","06:13:39","","",1,1,17437,13342,1
