"d_t_19902-10207_06:08:57",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:00:43",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:11:55",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:03:31",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:00:11",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:07:40",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:07:46",1,"Car","",2,1,1,19902,10207,1
"d_t_19902-10207_06:11:12",1,"Car","",2,1,1,19902,10207,1
"d_t_13094-17122_06:03:29",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:00:20",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:05:23",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:06:15",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:10:45",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:08:28",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:01:57",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:03:59",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:03:57",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:02:11",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:01:18",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:02:52",1,"Car","",2,1,1,13094,17122,1
"d_t_13094-17122_06:07:07",1,"Car","",2,1,1,13094,17122,1
"d_t_12799-14078_06:00:54",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:14:32",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:13:25",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:00:35",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:05:46",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:04:10",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:02:55",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:01:59",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:11:21",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:08:34",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:00:30",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:10:35",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:10:02",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:14:35",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:01:22",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:06:30",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:00:38",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:09:07",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:14:54",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:00:09",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:09:29",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:11:30",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:11:05",1,"Car","",2,1,1,12799,14078,1
"d_t_12799-14078_06:04:39",1,"Car","",2,1,1,12799,14078,1
"d_t_18684-20408_06:14:37",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:02:48",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:05:19",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:02:16",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:05:02",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:03:12",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:01:30",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:08:03",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:09:59",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:14:25",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:02:47",1,"Car","",2,1,1,18684,20408,1
"d_t_18684-20408_06:12:02",1,"Car","",2,1,1,18684,20408,1
"d_t_18039-16657_06:04:36",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:05:46",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:00:16",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:07:58",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:02:26",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:08:03",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:11:41",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:00:21",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:11:00",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:14:59",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:07:45",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:00:35",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:01:56",1,"Car","",2,1,1,18039,16657,1
"d_t_18039-16657_06:14:03",1,"Car","",2,1,1,18039,16657,1
"d_t_14185-18534_06:10:52",1,"Car","",2,1,1,14185,18534,1
"d_t_14185-18534_06:12:41",1,"Car","",2,1,1,14185,18534,1
