"isg.lua","beta_second_stop_outbound",2.3,1.84,2.76,0.1,1.86,1,0,1,2.3,1.3225
"isg.lua","beta_second_stop_inbound",5.31,4.248,6.372,0.1,1.86,1,0,1,5.31,7.049025
"isg.lua","beta_first_stop_outbound",0.233,0.1864,0.2796,0.1,0.88,1,0,1,0.233,0.01357225
"isg.lua","beta_time_window_other_second_stop_first_bound",1.39,1.112,1.668,0.1,1.86,1,0,1,1.39,0.483025
"isg.lua","beta_time_window_work_second_stop_first_bound",3.43,2.744,4.116,0.1,1.86,1,0,1,3.43,2.941225
"itd.lua","beta_C_1",-0.169,-0.2028,-0.1352,0.1,0.64,1,0,1,-0.169,0.00714025
"itd.lua","beta_TT",-2.07,-2.484,-1.656,0.1,1.55,1,0,1,-2.07,1.071225
"itd.lua","beta_C_2",-0.545,-0.654,-0.436,0.1,1.55,1,0,1,-0.545,0.07425625
"itd.lua","beta_DEP_1_1",3.79,3.032,4.548,0.1,81.04,1,0,1,3.79,3.591025
"itd.lua","beta_DEP_1_3",-3.14,-3.768,-2.512,0.1,81.04,1,0,1,-3.14,2.4649
"itd.lua","beta_DEP_1_2",-2.15,-2.58,-1.72,0.1,81.04,1,0,1,-2.15,1.155625
"itd.lua","beta_DEP_1_5",-4,-4.8,-3.2,0.1,81.04,1,0,1,-4,4
"itd.lua","beta_DEP_1_4",-0.165,-0.198,-0.132,0.1,81.04,1,0,1,-0.165,0.00680625
"itd.lua","beta_DEP_1_7",0.354,0.2832,0.4248,0.1,81.04,1,0,1,0.354,0.031329
"itd.lua","beta_DEP_1_6",-4.45,-5.34,-3.56,0.1,81.04,1,0,1,-4.45,4.950625
"itd.lua","beta_DEP_1_8",1.64,1.312,1.968,0.1,81.04,1,0,1,1.64,0.6724
"itd.lua","beta_ARR_1_8",0.688,0.5504,0.8256,0.1,81.04,1,0,1,0.688,0.118336
"itd.lua","beta_ARR_1_7",2.88,2.304,3.456,0.1,81.04,1,0,1,2.88,2.0736
