6449,2521.8549071434,1891.3911803576,3152.3186339293,50,0.055,0.25,0.75,0.1,2521.8549071434,1589938.04317081
5569,1834.8542397042,1376.1406797782,2293.5677996303,50,0.045,0.25,0.75,0.1,1834.8542397042,841672.520240119
8587,2381.5019403084,1786.1264552313,2976.8774253856,50,0.04,0.25,0.75,0.1,2381.5019403084,1417887.87292317
4689,1318.1442639072,988.6081979304,1647.680329884,50,0.035,0.25,0.75,0.1,1318.1442639072,434376.075117863
4690,2137.0431770321,1602.7823827741,2671.3039712902,50,0.035,0.25,0.75,0.1,2137.0431770321,1141738.38512486
4672,2432.399904367,1824.2999282753,3040.4998804588,50,0.045,0.25,0.75,0.1,2432.399904367,1479142.32369115
7924,2375.7461769796,1781.8096327347,2969.6827212245,50,0.045,0.25,0.75,0.1,2375.7461769796,1411042.4743583
223,3808.3925645083,2856.2944233812,4760.4907056354,50,0.055,0.25,0.75,0.1,3808.3925645083,3625963.48135053
727,1791.6074354917,1343.7055766188,2239.5092943647,50,0.055,0.25,0.75,0.1,1791.6074354917,802464.300727286
229,2417.1329008343,1812.8496756257,3021.4161260429,50,0.055,0.25,0.75,0.1,2417.1329008343,1460632.86507391
9043,3078.1450928566,2308.6088196424,3847.6813660707,50,0.055,0.25,0.75,0.1,3078.1450928566,2368744.30316929
230,2417.1329008343,1812.8496756257,3021.4161260429,50,0.055,0.25,0.75,0.1,2417.1329008343,1460632.86507391
722,3808.3925645083,2856.2944233812,4760.4907056354,50,0.055,0.25,0.75,0.1,3808.3925645083,3625963.48135053
16240,2944.2538230204,2208.1903672653,3680.3172787755,50,0.045,0.25,0.75,0.1,2944.2538230204,2167157.64359256
15987,2432.399904367,1824.2999282753,3040.4998804588,50,0.045,0.25,0.75,0.1,2432.399904367,1479142.32369115
15991,2944.2538230204,2208.1903672653,3680.3172787755,50,0.045,0.25,0.75,0.1,2944.2538230204,2167157.64359256
7469,3147.380372486,2360.5352793645,3934.2254656075,50,0.055,0.25,0.75,0.1,3147.380372486,2476500.80227753
7482,3078.1450928566,2308.6088196424,3847.6813660707,50,0.055,0.25,0.75,0.1,3078.1450928566,2368744.30316929
374,2417.1329008343,1812.8496756257,3021.4161260429,50,0.055,0.25,0.75,0.1,2417.1329008343,1460632.86507391
1468,2346.7081583576,1760.0311187682,2933.385197947,50,0.045,0.25,0.75,0.1,2346.7081583576,1376759.79512553
10491,3808.3925645083,2856.2944233812,4760.4907056354,50,0.055,0.25,0.75,0.1,3808.3925645083,3625963.48135053
10499,2521.8549071434,1891.3911803576,3152.3186339293,50,0.055,0.25,0.75,0.1,2521.8549071434,1589938.04317081
20673,2944.2538230204,2208.1903672653,3680.3172787755,50,0.045,0.25,0.75,0.1,2944.2538230204,2167157.64359256
24740,2432.399904367,1824.2999282753,3040.4998804588,50,0.045,0.25,0.75,0.1,2432.399904367,1479142.32369115
13446,3078.1450928566,2308.6088196424,3847.6813660707,50,0.055,0.25,0.75,0.1,3078.1450928566,2368744.30316929
23584,2137.0431770321,1602.7823827741,2671.3039712902,50,0.035,0.25,0.75,0.1,2137.0431770321,1141738.38512486
19549,2346.7081583576,1760.0311187682,2933.385197947,50,0.045,0.25,0.75,0.1,2346.7081583576,1376759.79512553
19705,3485.1457602958,2613.8593202219,4356.4322003698,50,0.045,0.25,0.75,0.1,3485.1457602958,3036560.24262695
7921,3078.1450928566,2308.6088196424,3847.6813660707,50,0.055,0.25,0.75,0.1,3078.1450928566,2368744.30316929
12014,3388.3925645083,2541.2944233812,4235.4907056354,50,0.055,0.25,0.75,0.1,3388.3925645083,2870301.04280378
11978,3808.3925645083,2856.2944233812,4760.4907056354,50,0.055,0.25,0.75,0.1,3808.3925645083,3625963.48135053
10654,1791.6074354917,1343.7055766188,2239.5092943647,50,0.055,0.25,0.75,0.1,1791.6074354917,802464.300727286
11925,3078.1450928566,2308.6088196424,3847.6813660707,50,0.055,0.25,0.75,0.1,3078.1450928566,2368744.30316929
15255,2727.380372486,2045.5352793645,3409.2254656075,50,0.055,0.25,0.75,0.1,2727.380372486,1859650.92405547
15303,2727.380372486,2045.5352793645,3409.2254656075,50,0.055,0.25,0.75,0.1,2727.380372486,1859650.92405547
12617,2944.2538230204,2208.1903672653,3680.3172787755,50,0.045,0.25,0.75,0.1,2944.2538230204,2167157.64359256
15253,2762.8670991657,2072.1503243743,3453.5838739572,50,0.055,0.25,0.75,0.1,2762.8670991657,1908358.65191307
15282,2101.8549071434,1576.3911803576,2627.3186339293,50,0.055,0.25,0.75,0.1,2101.8549071434,1104448.5126707
11852,2521.8549071434,1891.3911803576,3152.3186339293,50,0.055,0.25,0.75,0.1,2521.8549071434,1589938.04317081
21141,3808.3925645083,2856.2944233812,4760.4907056354,50,0.055,0.25,0.75,0.1,3808.3925645083,3625963.48135053
21143,1791.6074354917,1343.7055766188,2239.5092943647,50,0.055,0.25,0.75,0.1,1791.6074354917,802464.300727286
21674,3078.1450928566,2308.6088196424,3847.6813660707,50,0.055,0.25,0.75,0.1,3078.1450928566,2368744.30316929
23738,2432.399904367,1824.2999282753,3040.4998804588,50,0.045,0.25,0.75,0.1,2432.399904367,1479142.32369115
27587,2375.7461769796,1781.8096327347,2969.6827212245,50,0.045,0.25,0.75,0.1,2375.7461769796,1411042.4743583
11642,2032.619627514,1524.4647206355,2540.7745343925,50,0.055,0.25,0.75,0.1,2032.619627514,1032885.63753879
1476,2973.2918416424,2229.9688812318,3716.614802053,50,0.045,0.25,0.75,0.1,2973.2918416424,2210116.09389431
