"Capacity",2,">3",70,"C46",3666.2088639066,1000,4900,300,0.4,0.25,0.75,0.1,3666.2088639066,3.36E+06
"Capacity",2,">3",80,"C47",1971.1859943817,1000,5100,300,0.3,0.25,0.75,0.1,1971.1859943817,9.71E+05
"Capacity",2,">3",90,"C48",3815.4514201613,1000,5100,300,0.5,0.25,0.75,0.1,3815.4514201613,3.64E+06
"Capacity",3,1,40,"C49",1776.4647606831,1000,4500,300,0.2,0.25,0.75,0.1,1776.4647606831,7.89E+05
"Capacity",3,1,50,"C50",3331.9957960522,1000,4700,300,0.4,0.25,0.75,0.1,3331.9957960522,2.78E+06
"Capacity",3,1,60,"C51",3366.2088639066,1000,4700,300,0.4,0.25,0.75,0.1,3366.2088639066,2.83E+06
"Capacity",3,1,70,"C52",3531.9957960522,1000,4900,300,0.4,0.25,0.75,0.1,3531.9957960522,3.12E+06
"Capacity",3,1,80,"C53",2370.3768485316,1000,5000,300,0.3,0.25,0.75,0.1,2370.3768485316,1.40E+06
"Capacity",3,1,90,"C54",4667.7154039156,1000,5100,300,0.8,0.25,0.75,0.1,4667.7154039156,5.45E+06
"Capacity",3,2,40,"C55",2411.0639644437,1000,4500,300,0.4,0.25,0.75,0.1,2411.0639644437,1.45E+06
"Capacity",3,2,50,"C56",3215.4514201613,1000,4700,300,0.5,0.25,0.75,0.1,3215.4514201613,2.58E+06
"Capacity",3,2,60,"C57",2611.0639644437,1000,4700,300,0.4,0.25,0.75,0.1,2611.0639644437,1.70E+06
"Capacity",3,2,70,"C58",3531.9957960522,1000,4900,300,0.4,0.25,0.75,0.1,3531.9957960522,3.12E+06
"Capacity",3,2,80,"C59",3869.927700243,1000,5000,300,0.6,0.25,0.75,0.1,3869.927700243,3.74E+06
"Capacity",3,2,90,"C60",2911.0639644437,1000,5100,300,0.4,0.25,0.75,0.1,2911.0639644437,2.12E+06
"Capacity",3,3,40,"C61",2368.2237890463,1000,4500,300,0.4,0.25,0.75,0.1,2368.2237890463,1.40E+06
"Capacity",3,3,50,"C62",4472.5785151872,1000,4700,300,0.5,0.25,0.75,0.1,4472.5785151872,5.00E+06
"Capacity",3,3,60,"C63",4700,1000,4700,300,0.4,0.25,0.75,0.1,4700,5.52E+06
"Capacity",3,3,70,"C64",2734.0107211919,1000,4900,300,0.4,0.25,0.75,0.1,2734.0107211919,1.87E+06
"Capacity",3,3,80,"C65",3448.2287201876,1000,5000,300,0.6,0.25,0.75,0.1,3448.2287201876,2.97E+06
"Capacity",3,3,90,"C66",2933.4363042177,1000,5100,300,0.5,0.25,0.75,0.1,2933.4363042177,2.15E+06
"Capacity",3,">3",40,"C67",4500,1000,4500,300,0.35,0.25,0.75,0.1,4500,5.06E+06
"Capacity",3,">3",50,"C68",3148.2287201876,1000,4700,300,0.6,0.25,0.75,0.1,3148.2287201876,2.48E+06
"Capacity",3,">3",60,"C69",4371.9771147511,1000,4700,300,0.5,0.25,0.75,0.1,4371.9771147511,4.78E+06
"Capacity",3,">3",70,"C70",2668.2237890463,1000,4900,300,0.4,0.25,0.75,0.1,2668.2237890463,1.78E+06
"Capacity",3,">3",80,"C71",4511.7663248811,1000,5000,300,0.5,0.25,0.75,0.1,4511.7663248811,5.09E+06
"Capacity",3,">3",90,"C72",3924.4424754083,1000,5100,300,0.4,0.25,0.75,0.1,3924.4424754083,3.85E+06
"Capacity",4,1,40,"C73",3470.7843373607,1000,4500,300,0.35,0.25,0.75,0.1,3470.7843373607,3.01E+06
"Capacity",4,1,50,"C74",4700,1000,4700,300,0.4,0.25,0.75,0.1,4700,5.52E+06
"Capacity",4,1,60,"C75",3366.2088639066,1000,4700,300,0.4,0.25,0.75,0.1,3366.2088639066,2.83E+06
"Capacity",4,1,70,"C76",3769.927700243,1000,4900,300,0.6,0.25,0.75,0.1,3769.927700243,3.55E+06
"Capacity",4,1,80,"C77",3568.9390186314,1000,5000,300,0.5,0.25,0.75,0.1,3568.9390186314,3.18E+06
"Capacity",4,1,90,"C78",5100,1000,5100,300,0.8,0.25,0.75,0.1,5100,6.50E+06
"Capacity",4,2,40,"C79",3231.9957960522,1000,4500,300,0.4,0.25,0.75,0.1,3231.9957960522,2.61E+06
"Capacity",4,2,50,"C80",3268.9390186314,1000,4700,300,0.5,0.25,0.75,0.1,3268.9390186314,2.67E+06
"Capacity",4,2,60,"C81",4371.9771147511,1000,4700,300,0.5,0.25,0.75,0.1,4371.9771147511,4.78E+06
"Capacity",4,2,70,"C82",4411.7663248811,1000,4900,300,0.5,0.25,0.75,0.1,4411.7663248811,4.87E+06
"Capacity",4,2,80,"C83",2876.8508965893,1000,5000,300,0.4,0.25,0.75,0.1,2876.8508965893,2.07E+06
