25,7056,35,137,4
25,6226,105,186,5
27,7097,129,105,4
27,6227,193,156,5
25,7087,83,151,4
26,7056,56,93,4
27,5242,195,200,4
27,6420,87,111,4
26,6420,62,108,4
26,7105,63,81,3
24,7096,13,132,3
24,7083,31,53,3
26,6227,142,191,5
25,7105,43,88,3
25,7088,76,56,5
26,7088,89,117,5
26,7087,82,151,4
27,6231,190,183,5
24,6227,76,128,5
27,7096,50,88,3
27,6226,162,156,5
25,7097,77,169,4
24,7087,63,112,4
27,7085,131,173,4
24,7097,58,103,4
24,6420,40,119,4
26,5242,147,133,4
24,7056,31,88,4
26,7083,53,33,3
24,6231,73,153,5
24,7105,44,76,3
24,5242,94,128,4
27,7056,53,85,4
25,7096,21,114,3
24,7088,64,68,5
25,5242,136,128,4
25,7085,78,60,4
26,7096,27,167,3
25,6227,100,260,5
24,7085,64,75,4
27,7083,91,53,3
27,7105,83,94,3
27,7088,120,166,5
26,6226,124,167,5
25,7083,34,63,3
26,7085,85,125,4
26,6231,142,110,5
25,6231,81,75,5
24,6226,78,80,5
27,7087,133,107,4
25,6420,49,107,4
26,7097,94,143,4
