"SegID" "Time" "Counts" "screenLineSegmet"
"10907" 27000 59 "103B"
"5368" 27000 24 "S21A"
"5873" 27000 16 "136A"
"6236" 27000 30 "S39A"
"7036" 27000 61 "S42A"
"7192" 27000 42 "ERP63A"
"7435" 27000 40 "S29A"
"7907" 27000 14 "ERP8A"
"7915" 27000 114 "ERP21A"
"7916" 27000 36 "ERP22A"
"7921" 27000 47 "ERP6A"
"7922" 27000 70 "S35A"
"7925" 27000 19 "S32A"
"8298" 27000 9 "S49B"
"10907" 27000 59 "103B"
"5368" 27000 24 "S21A"
"5873" 27000 16 "136A"
"6236" 27000 30 "S39A"
"7036" 27000 61 "S42A"
"7192" 27000 42 "ERP63A"
"7435" 27000 40 "S29A"
"7907" 27000 14 "ERP8A"
"7915" 27000 114 "ERP21A"
"7916" 27000 36 "ERP22A"
"7921" 27000 47 "ERP6A"
"7922" 27000 70 "S35A"
"7925" 27000 19 "S32A"
"8298" 27000 9 "S49B"
"8298" 27900 12 "S49B"
"10907" 27000 59 "103B"
"5368" 27000 24 "S21A"
"5873" 27000 16 "136A"
"6236" 27000 30 "S39A"
"7036" 27000 61 "S42A"
"7192" 27000 42 "ERP63A"
"7435" 27000 40 "S29A"
"7907" 27000 14 "ERP8A"
"7915" 27000 114 "ERP21A"
"7916" 27000 36 "ERP22A"
"7921" 27000 47 "ERP6A"
"7922" 27000 70 "S35A"
"7925" 27000 19 "S32A"
"8298" 27000 9 "S49B"
"10907" 27000 59 "103B"
"5368" 27000 24 "S21A"
"5873" 27000 16 "136A"
"6236" 27000 30 "S39A"
"7036" 27000 61 "S42A"
"7192" 27000 42 "ERP63A"
"7435" 27000 40 "S29A"
"7907" 27000 14 "ERP8A"
"7915" 27000 114 "ERP21A"
"7916" 27000 36 "ERP22A"
"7921" 27000 47 "ERP6A"
"7922" 27000 70 "S35A"
"7925" 27000 19 "S32A"
"8298" 27000 9 "S49B"
"8298" 27900 12 "S49B"
"8298" 28800 9 "S49B"
"10907" 27000 59 "103B"
"5368" 27000 24 "S21A"
"5873" 27000 16 "136A"
"6236" 27000 30 "S39A"
"7036" 27000 61 "S42A"
"7192" 27000 42 "ERP63A"
"7435" 27000 40 "S29A"
"7907" 27000 14 "ERP8A"
"7915" 27000 114 "ERP21A"
"7916" 27000 36 "ERP22A"
"7921" 27000 47 "ERP6A"
"7922" 27000 70 "S35A"
"7925" 27000 19 "S32A"
"8298" 27000 9 "S49B"
"10907" 27000 59 "103B"
"5368" 27000 24 "S21A"
"5873" 27000 16 "136A"
"6236" 27000 30 "S39A"
"7036" 27000 61 "S42A"
"7192" 27000 42 "ERP63A"
"7435" 27000 40 "S29A"
"7907" 27000 14 "ERP8A"
"7915" 27000 114 "ERP21A"
"7916" 27000 36 "ERP22A"
"7921" 27000 47 "ERP6A"
"7922" 27000 70 "S35A"
"7925" 27000 19 "S32A"
"8298" 27000 9 "S49B"
"8298" 27900 12 "S49B"
