"SegID" "Time" "SensorID" "LaneID" "Counts" "screenLineSegmet"
"10907" 27000 "307" "1090700" 11 "103B"
"10907" 27000 "307" "1090701" NA "103B"
"10907" 27000 "307" "1090702" 6 "103B"
"10907" 27000 "307" "1090703" NA "103B"
"10907" 27000 "307" "1090700" 11 "103B"
"10907" 27000 "307" "1090701" NA "103B"
"10907" 27000 "307" "1090702" 6 "103B"
"10907" 27000 "307" "1090703" NA "103B"
"10907" 27300 "307" "1090700" 7 "103B"
"10907" 27300 "307" "1090701" NA "103B"
"10907" 27300 "307" "1090702" 5 "103B"
"10907" 27300 "307" "1090703" NA "103B"
"10907" 27600 "307" "1090700" 11 "103B"
"10907" 27600 "307" "1090701" NA "103B"
"10907" 27600 "307" "1090702" 2 "103B"
"10907" 27600 "307" "1090703" NA "103B"
"10907" 27900 "307" "1090700" 10 "103B"
"10907" 27900 "307" "1090701" NA "103B"
"10907" 27900 "307" "1090702" 5 "103B"
"10907" 27900 "307" "1090703" NA "103B"
"10907" 28200 "307" "1090700" 8 "103B"
"10907" 28200 "307" "1090701" NA "103B"
"10907" 28200 "307" "1090702" 4 "103B"
"10907" 28200 "307" "1090703" NA "103B"
"10907" 28500 "307" "1090700" 15 "103B"
"10907" 28500 "307" "1090701" NA "103B"
"10907" 28500 "307" "1090702" 6 "103B"
"10907" 28500 "307" "1090703" NA "103B"
"10907" 28800 "307" "1090700" 10 "103B"
"10907" 28800 "307" "1090701" NA "103B"
"10907" 28800 "307" "1090702" 7 "103B"
"10907" 28800 "307" "1090703" NA "103B"
"10907" 29100 "307" "1090700" 6 "103B"
"10907" 29100 "307" "1090701" NA "103B"
"10907" 29100 "307" "1090702" 3 "103B"
"10907" 29100 "307" "1090703" NA "103B"
"10907" 29400 "307" "1090700" 11 "103B"
"10907" 29400 "307" "1090701" NA "103B"
"10907" 29400 "307" "1090702" 6 "103B"
"10907" 29400 "307" "1090703" NA "103B"
"10907" 29700 "307" "1090700" 10 "103B"
"10907" 29700 "307" "1090701" NA "103B"
"10907" 29700 "307" "1090702" 5 "103B"
"10907" 29700 "307" "1090703" NA "103B"
"10907" 30000 "307" "1090700" 16 "103B"
"10907" 30000 "307" "1090701" NA "103B"
"10907" 30000 "307" "1090702" 4 "103B"
"10907" 30000 "307" "1090703" NA "103B"
"10907" 30300 "307" "1090700" 22 "103B"
"10907" 30300 "307" "1090701" NA "103B"
"10907" 30300 "307" "1090702" 4 "103B"
"10907" 30300 "307" "1090703" NA "103B"
"10907" 30600 "307" "1090700" 17 "103B"
"10907" 30600 "307" "1090701" NA "103B"
"10907" 30600 "307" "1090702" 4 "103B"
"10907" 30600 "307" "1090703" NA "103B"
"10907" 30900 "307" "1090700" 15 "103B"
"10907" 30900 "307" "1090701" NA "103B"
"10907" 30900 "307" "1090702" 9 "103B"
"10907" 30900 "307" "1090703" NA "103B"
"10907" 31200 "307" "1090700" 14 "103B"
"10907" 31200 "307" "1090701" NA "103B"
"10907" 31200 "307" "1090702" 9 "103B"
"10907" 31200 "307" "1090703" NA "103B"
"10907" 31500 "307" "1090700" 15 "103B"
"10907" 31500 "307" "1090701" NA "103B"
"10907" 31500 "307" "1090702" 9 "103B"
"10907" 31500 "307" "1090703" NA "103B"
"10907" 31800 "307" "1090700" 24 "103B"
"10907" 31800 "307" "1090701" NA "103B"
"10907" 31800 "307" "1090702" 17 "103B"
"10907" 31800 "307" "1090703" NA "103B"
"10907" 32100 "307" "1090700" 26 "103B"
"10907" 32100 "307" "1090701" NA "103B"
"10907" 32100 "307" "1090702" 11 "103B"
"10907" 32100 "307" "1090703" NA "103B"
"10907" 32400 "307" "1090700" 15 "103B"
"10907" 32400 "307" "1090701" NA "103B"
"10907" 32400 "307" "1090702" 6 "103B"
"10907" 32400 "307" "1090703" NA "103B"
"10907" 32700 "307" "1090700" 24 "103B"
"10907" 32700 "307" "1090701" NA "103B"
"10907" 32700 "307" "1090702" 9 "103B"
"10907" 32700 "307" "1090703" NA "103B"
"10907" 33000 "307" "1090700" 26 "103B"
"10907" 33000 "307" "1090701" NA "103B"
"10907" 33000 "307" "1090702" 11 "103B"
"10907" 33000 "307" "1090703" NA "103B"
"10907" 33300 "307" "1090700" 20 "103B"
"10907" 33300 "307" "1090701" NA "103B"
"10907" 33300 "307" "1090702" 11 "103B"
"10907" 33300 "307" "1090703" NA "103B"
"10907" 33600 "307" "1090700" 23 "103B"
"10907" 33600 "307" "1090701" NA "103B"
"10907" 33600 "307" "1090702" 6 "103B"
"10907" 33600 "307" "1090703" NA "103B"
"10907" 33900 "307" "1090700" 30 "103B"
"10907" 33900 "307" "1090701" NA "103B"
"10907" 33900 "307" "1090702" 15 "103B"
"10907" 33900 "307" "1090703" NA "103B"
"4699" 27000 "431" "469900" NA "S31A"
"4699" 27000 "431" "469900" NA "S31A"
"4699" 27300 "431" "469900" NA "S31A"
"4699" 27600 "431" "469900" NA "S31A"
"4699" 27900 "431" "469900" NA "S31A"
"4699" 28200 "431" "469900" NA "S31A"
"4699" 28500 "431" "469900" NA "S31A"
"4699" 28800 "431" "469900" NA "S31A"
"4699" 29100 "431" "469900" NA "S31A"
"4699" 29400 "431" "469900" NA "S31A"
"4699" 29700 "431" "469900" NA "S31A"
"4699" 30000 "431" "469900" NA "S31A"
"4699" 30300 "431" "469900" NA "S31A"
"4699" 30600 "431" "469900" NA "S31A"
"4699" 30900 "431" "469900" NA "S31A"
"4699" 31200 "431" "469900" NA "S31A"
"4699" 31500 "431" "469900" NA "S31A"
"4699" 31800 "431" "469900" NA "S31A"
"4699" 32100 "431" "469900" NA "S31A"
"4699" 32400 "431" "469900" NA "S31A"
"4699" 32700 "431" "469900" NA "S31A"
"4699" 33000 "431" "469900" NA "S31A"
"4699" 33300 "431" "469900" NA "S31A"
"4699" 33600 "431" "469900" NA "S31A"
"4699" 33900 "431" "469900" NA "S31A"
"5342" 27000 "625" "534200" NA "ERP18A"
"5342" 27000 "625" "534201" NA "ERP18A"
"5342" 27000 "625" "534202" NA "ERP18A"
"5342" 27000 "625" "534203" NA "ERP18A"
"5342" 27000 "625" "534200" NA "ERP18A"
"5342" 27000 "625" "534201" NA "ERP18A"
"5342" 27000 "625" "534202" NA "ERP18A"
"5342" 27000 "625" "534203" NA "ERP18A"
"5342" 27300 "625" "534200" NA "ERP18A"
"5342" 27300 "625" "534201" NA "ERP18A"
"5342" 27300 "625" "534202" NA "ERP18A"
"5342" 27300 "625" "534203" NA "ERP18A"
"5342" 27600 "625" "534200" NA "ERP18A"
