"SegID" "Time" "Counts" "screenLineSegmet"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"8298" 63900 29 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"8298" 63900 29 "S49B"
"8298" 64800 21 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"8298" 63900 29 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"8298" 63900 29 "S49B"
"8298" 64800 21 "S49B"
"8298" 65700 17 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"8298" 63900 29 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
"7435" 63000 91 "S29A"
"7907" 63000 43 "ERP8A"
"7915" 63000 262 "ERP21A"
"7916" 63000 97 "ERP22A"
"7921" 63000 114 "ERP6A"
"7922" 63000 481 "S35A"
"7925" 63000 72 "S32A"
"8298" 63000 39 "S49B"
"10907" 63000 212 "103B"
"5368" 63000 57 "S21A"
"5873" 63000 21 "136A"
"6236" 63000 43 "S39A"
"7036" 63000 334 "S42A"
"7192" 63000 103 "ERP63A"
